X   Y   Z   quatX   quatY   quatZ   W
-0.0329543 0.468691 0.642692 0.0733344 0.534208 -0.50676 0.672635 
-0.0331542 0.469037 0.641547 0.0733361 0.534209 -0.506761 0.672634 
-0.0333541 0.469383 0.640401 0.0733378 0.534209 -0.506761 0.672633 
-0.033554 0.469729 0.639256 0.0733394 0.534209 -0.506762 0.672633 
-0.0337539 0.470075 0.63811 0.0733411 0.534209 -0.506762 0.672632 
-0.0339539 0.470421 0.636965 0.0733428 0.534209 -0.506763 0.672631 
-0.0341538 0.470767 0.63582 0.0733445 0.53421 -0.506763 0.672631 
-0.0343537 0.471113 0.634674 0.0733461 0.53421 -0.506763 0.67263 
-0.0345536 0.471459 0.633529 0.0733478 0.53421 -0.506764 0.672629 
-0.0347535 0.471805 0.632383 0.0733494 0.53421 -0.506764 0.672629 
-0.0349535 0.472151 0.631238 0.073351 0.53421 -0.506765 0.672628 
-0.0351534 0.472497 0.630092 0.0733526 0.534211 -0.506765 0.672627 
-0.0353533 0.472843 0.628947 0.0733542 0.534211 -0.506766 0.672627 
-0.0355532 0.473189 0.627802 0.0733558 0.534211 -0.506766 0.672626 
-0.0357532 0.473535 0.626656 0.0733574 0.534211 -0.506766 0.672625 
-0.0359531 0.473881 0.625511 0.073359 0.534212 -0.506767 0.672625 
-0.036153 0.474227 0.624365 0.0733606 0.534212 -0.506767 0.672624 
-0.0363529 0.474574 0.62322 0.0733621 0.534212 -0.506768 0.672623 
-0.0365529 0.47492 0.622074 0.0733637 0.534212 -0.506768 0.672623 
-0.0367528 0.475266 0.620929 0.0733652 0.534212 -0.506768 0.672622 
-0.0369527 0.475612 0.619783 0.0733668 0.534213 -0.506769 0.672621 
-0.0371527 0.475958 0.618638 0.0733683 0.534213 -0.506769 0.672621 
-0.0373526 0.476304 0.617493 0.0733698 0.534213 -0.50677 0.67262 
-0.0375525 0.47665 0.616347 0.0733713 0.534213 -0.50677 0.67262 
-0.0377525 0.476996 0.615202 0.0733728 0.534213 -0.50677 0.672619 
-0.0379524 0.477343 0.614056 0.0733743 0.534214 -0.506771 0.672618 
-0.0381523 0.477689 0.612911 0.0733758 0.534214 -0.506771 0.672618 
-0.0383523 0.478035 0.611765 0.0733772 0.534214 -0.506772 0.672617 
-0.0385522 0.478381 0.61062 0.0733787 0.534214 -0.506772 0.672617 
-0.0387522 0.478727 0.609474 0.0733801 0.534214 -0.506772 0.672616 
-0.0389521 0.479074 0.608329 0.0733816 0.534215 -0.506773 0.672615 
-0.0391521 0.47942 0.607183 0.073383 0.534215 -0.506773 0.672615 
-0.039352 0.479766 0.606038 0.0733844 0.534215 -0.506773 0.672614 
-0.039552 0.480112 0.604892 0.0733858 0.534215 -0.506774 0.672614 
-0.0397519 0.480458 0.603747 0.0733872 0.534215 -0.506774 0.672613 
-0.0399519 0.480805 0.602601 0.0733886 0.534215 -0.506775 0.672612 
-0.0401518 0.481151 0.601456 0.0733899 0.534216 -0.506775 0.672612 
-0.0403518 0.481497 0.60031 0.0733913 0.534216 -0.506775 0.672611 
-0.0405517 0.481843 0.599165 0.0733926 0.534216 -0.506776 0.672611 
-0.0407517 0.48219 0.598019 0.073394 0.534216 -0.506776 0.67261 
-0.0409517 0.482536 0.596874 0.0733953 0.534216 -0.506776 0.67261 
-0.0411516 0.482882 0.595728 0.0733966 0.534217 -0.506777 0.672609 
-0.0413516 0.483229 0.594583 0.0733979 0.534217 -0.506777 0.672609 
-0.0415516 0.483575 0.593437 0.0733992 0.534217 -0.506777 0.672608 
