lbr_1_joint lbr_2_joint lbr_3_joint lbr_4_joint lbr_5_joint lbr_6_joint lbr_7_joint 
2.49802 -0.580143 1.89747 -1.35525 1.62352 -2.04236 0.815296 
2.49797 -0.582274 1.89715 -1.35652 1.62657 -2.04234 0.817523 
2.49791 -0.584412 1.89685 -1.35778 1.62962 -2.04231 0.819745 
2.49785 -0.586556 1.89654 -1.35903 1.63268 -2.04227 0.821959 
2.49779 -0.588706 1.89624 -1.36028 1.63574 -2.04223 0.824167 
2.49772 -0.590863 1.89595 -1.36151 1.6388 -2.04218 0.826367 
2.49764 -0.593027 1.89566 -1.36273 1.64186 -2.04213 0.828561 
2.49756 -0.595196 1.89537 -1.36395 1.64492 -2.04207 0.830748 
2.49748 -0.597372 1.89509 -1.36515 1.64799 -2.042 0.832928 
2.49739 -0.599554 1.89481 -1.36634 1.65105 -2.04192 0.835101 
2.4973 -0.601742 1.89454 -1.36753 1.65412 -2.04184 0.837267 
2.4972 -0.603936 1.89427 -1.3687 1.65719 -2.04175 0.839425 
2.49709 -0.606136 1.894 -1.36986 1.66027 -2.04166 0.841577 
2.49699 -0.608342 1.89374 -1.37102 1.66334 -2.04156 0.843721 
2.49687 -0.610554 1.89348 -1.37216 1.66641 -2.04145 0.845858 
2.49676 -0.612772 1.89323 -1.37329 1.66949 -2.04134 0.847988 
2.49664 -0.614996 1.89298 -1.37442 1.67257 -2.04122 0.85011 
2.49651 -0.617225 1.89274 -1.37553 1.67564 -2.0411 0.852225 
2.49638 -0.61946 1.8925 -1.37664 1.67872 -2.04097 0.854333 
2.49625 -0.621701 1.89226 -1.37773 1.6818 -2.04083 0.856433 
2.49611 -0.623947 1.89203 -1.37881 1.68488 -2.04069 0.858526 
2.49597 -0.626199 1.8918 -1.37989 1.68796 -2.04055 0.860611 
2.49583 -0.628456 1.89157 -1.38095 1.69105 -2.04039 0.862688 
2.49568 -0.630719 1.89135 -1.38201 1.69413 -2.04024 0.864758 
2.49552 -0.632987 1.89114 -1.38305 1.69721 -2.04007 0.866821 
2.49537 -0.63526 1.89093 -1.38409 1.7003 -2.03991 0.868875 
2.49521 -0.637539 1.89072 -1.38511 1.70338 -2.03973 0.870922 
2.49504 -0.639823 1.89051 -1.38613 1.70646 -2.03956 0.872962 
2.49487 -0.642112 1.89031 -1.38713 1.70955 -2.03937 0.874993 
